,bill_length,bill_depth,flipper_length,body_mass,species
87,39.6,18.1,?,4450.0,Adelie
88,36.2,17.3,187.0,3300.0,Adelie
89,40.8,18.9,208.0,4300.0,Adelie
90,?,18.6,?,3700.0,Adelie
91,40.3,18.5,196.0,4350.0,Adelie
92,33.1,16.1,178.0,2900.0,Adelie
93,43.2,18.5,192.0,?,Adelie
94,?,17.9,192.0,3725.0,Adelie
95,41.0,20.0,?,4725.0,Adelie
96,37.7,16.0,183.0,3075.0,Adelie
97,37.8,?,190.0,4250.0,Adelie
98,37.9,18.6,193.0,?,Adelie
99,39.7,18.9,184.0,3550.0,Adelie
100,38.6,?,?,3750.0,Adelie
101,38.2,20.0,190.0,3900.0,Adelie
102,38.1,?,181.0,3175.0,Adelie
103,43.2,?,197.0,4775.0,Adelie
104,38.1,16.5,198.0,3825.0,Adelie
105,45.6,20.3,191.0,?,Adelie
106,?,17.7,?,3200.0,Adelie
107,42.2,19.5,197.0,?,Adelie
108,39.6,?,191.0,?,Adelie
109,42.7,?,196.0,4075.0,Adelie
110,38.6,17.0,?,?,Adelie
111,37.3,?,199.0,3775.0,Adelie
112,35.7,?,?,3350.0,Adelie
113,?,18.6,189.0,3325.0,Adelie
114,36.2,17.2,?,3150.0,Adelie
115,37.7,19.8,?,3500.0,Adelie
116,40.2,17.0,?,3450.0,Adelie
117,41.4,18.5,?,3875.0,Adelie
118,35.2,15.9,186.0,3050.0,Adelie
119,40.6,?,199.0,4000.0,Adelie
120,38.8,17.6,191.0,3275.0,Adelie
121,41.5,?,?,4300.0,Adelie
122,39.0,?,191.0,3050.0,Adelie
123,44.1,18.0,210.0,4000.0,Adelie
124,38.5,?,190.0,3325.0,Adelie
125,43.1,19.2,197.0,3500.0,Adelie
126,36.8,18.5,193.0,3500.0,Adelie
127,37.5,18.5,199.0,4475.0,Adelie
128,?,17.6,187.0,3425.0,Adelie
129,41.1,17.5,190.0,3900.0,Adelie
130,35.6,17.5,?,3175.0,Adelie
131,40.2,20.1,200.0,3975.0,Adelie
132,37.0,?,?,3400.0,Adelie
133,39.7,17.9,193.0,4250.0,Adelie
134,40.2,17.1,193.0,?,Adelie
135,40.6,17.2,187.0,3475.0,Adelie
136,32.1,15.5,188.0,3050.0,Adelie
137,40.7,?,190.0,3725.0,Adelie
138,37.3,16.8,?,3000.0,Adelie
139,39.0,18.7,185.0,?,Adelie
140,39.2,18.6,190.0,4250.0,Adelie
141,36.6,18.4,184.0,3475.0,Adelie
142,?,17.8,195.0,3450.0,Adelie
143,37.8,18.1,?,3750.0,Adelie
144,36.0,17.1,?,3700.0,Adelie
145,41.5,18.5,201.0,4000.0,Adelie
146,46.1,?,211.0,4500.0,Gentoo
147,50.0,16.3,230.0,5700.0,Gentoo
148,?,14.1,210.0,?,Gentoo
149,?,15.2,218.0,?,Gentoo
150,?,?,215.0,5400.0,Gentoo
151,46.5,13.5,210.0,4550.0,Gentoo
152,?,14.6,?,4800.0,Gentoo
153,46.7,15.3,?,5200.0,Gentoo
154,43.3,13.4,209.0,?,Gentoo
155,46.8,15.4,215.0,5150.0,Gentoo
156,40.9,13.7,214.0,4650.0,Gentoo
157,49.0,16.1,216.0,5550.0,Gentoo
158,45.5,13.7,214.0,4650.0,Gentoo
159,48.4,?,213.0,5850.0,Gentoo
160,45.8,14.6,210.0,?,Gentoo
161,49.3,?,?,5850.0,Gentoo
162,42.0,?,210.0,4150.0,Gentoo
163,49.2,15.2,221.0,6300.0,Gentoo
164,?,14.5,?,4800.0,Gentoo
165,?,15.1,222.0,5350.0,Gentoo
166,?,14.3,218.0,5700.0,Gentoo
167,45.1,14.5,215.0,?,Gentoo
168,?,14.5,213.0,?,Gentoo
169,46.3,15.8,215.0,5050.0,Gentoo
170,42.9,13.1,215.0,5000.0,Gentoo
171,46.1,15.1,215.0,?,Gentoo
172,?,15.0,215.0,?,Gentoo
173,48.2,14.3,210.0,4600.0,Gentoo
174,50.0,?,220.0,5550.0,Gentoo
175,47.3,15.3,222.0,5250.0,Gentoo
176,42.8,14.2,?,4700.0,Gentoo
177,?,14.5,?,?,Gentoo
178,59.6,17.0,?,6050.0,Gentoo
179,49.1,14.8,220.0,5150.0,Gentoo
180,?,16.3,?,5400.0,Gentoo
181,42.6,13.7,213.0,?,Gentoo
182,44.4,17.3,?,5250.0,Gentoo
183,44.0,13.6,208.0,?,Gentoo
184,48.7,15.7,208.0,?,Gentoo
185,42.7,13.7,208.0,?,Gentoo
186,?,16.0,225.0,5700.0,Gentoo
187,45.3,?,210.0,?,Gentoo
188,49.6,15.0,216.0,4750.0,Gentoo
189,50.5,15.9,?,5550.0,Gentoo
190,43.6,13.9,217.0,4900.0,Gentoo
191,45.5,13.9,210.0,4200.0,Gentoo
192,50.5,15.9,225.0,?,Gentoo
193,44.9,13.3,?,?,Gentoo
194,45.2,15.8,215.0,5300.0,Gentoo
195,46.6,14.2,210.0,4850.0,Gentoo
196,48.5,14.1,220.0,?,Gentoo
197,45.1,14.4,210.0,4400.0,Gentoo
198,50.1,15.0,225.0,5000.0,Gentoo
199,46.5,?,217.0,4900.0,Gentoo
200,45.0,15.4,220.0,5050.0,Gentoo
201,43.8,13.9,208.0,4300.0,Gentoo
202,45.5,?,220.0,5000.0,Gentoo
203,43.2,14.5,208.0,4450.0,Gentoo
204,50.4,15.3,224.0,5550.0,Gentoo
205,?,13.8,?,4200.0,Gentoo
206,46.2,?,?,5300.0,Gentoo
207,45.7,13.9,214.0,4400.0,Gentoo
208,54.3,15.7,231.0,5650.0,Gentoo
209,45.8,14.2,219.0,4700.0,Gentoo
210,?,16.8,230.0,5700.0,Gentoo
211,?,16.2,229.0,5800.0,Gentoo
212,43.5,14.2,220.0,4700.0,Gentoo
213,50.7,15.0,?,5550.0,Gentoo
214,47.7,15.0,216.0,4750.0,Gentoo
215,46.4,15.6,221.0,5000.0,Gentoo
216,48.2,?,221.0,5100.0,Gentoo
217,?,?,217.0,5200.0,Gentoo
218,46.4,15.0,216.0,?,Gentoo
219,48.6,16.0,?,?,Gentoo
220,47.5,14.2,209.0,4600.0,Gentoo
221,51.1,16.3,?,?,Gentoo
222,?,13.8,?,?,Gentoo
223,45.2,16.4,223.0,5950.0,Gentoo
224,49.1,14.5,212.0,4625.0,Gentoo
225,52.5,15.6,221.0,5450.0,Gentoo
226,?,14.6,212.0,4725.0,Gentoo
227,50.0,?,224.0,5350.0,Gentoo
228,44.9,13.8,212.0,4750.0,Gentoo
229,50.8,17.3,228.0,?,Gentoo
230,43.4,14.4,218.0,?,Gentoo
231,51.3,14.2,?,?,Gentoo
232,47.5,14.0,212.0,4875.0,Gentoo
233,52.1,17.0,230.0,5550.0,Gentoo
234,47.5,15.0,218.0,4950.0,Gentoo
235,52.2,17.1,228.0,?,Gentoo
236,?,14.5,?,4750.0,Gentoo
237,49.5,16.1,224.0,5650.0,Gentoo
238,44.5,14.7,214.0,4850.0,Gentoo
239,?,15.7,226.0,5200.0,Gentoo
240,49.4,15.8,216.0,4925.0,Gentoo
241,46.9,?,222.0,?,Gentoo
242,48.4,?,203.0,4625.0,Gentoo
243,51.1,16.5,225.0,5250.0,Gentoo
244,48.5,15.0,219.0,?,Gentoo
245,55.9,17.0,228.0,5600.0,Gentoo
246,47.2,?,215.0,4975.0,Gentoo
247,49.1,15.0,228.0,5500.0,Gentoo
248,46.8,?,?,5500.0,Gentoo
249,41.7,14.7,210.0,4700.0,Gentoo
250,53.4,15.8,?,5500.0,Gentoo
251,?,14.0,208.0,4575.0,Gentoo
252,48.1,15.1,209.0,5500.0,Gentoo
253,?,15.2,216.0,?,Gentoo
254,49.8,15.9,229.0,5950.0,Gentoo
255,43.5,15.2,213.0,4650.0,Gentoo
256,51.5,16.3,230.0,5500.0,Gentoo
257,?,14.1,217.0,4375.0,Gentoo
258,55.1,?,230.0,5850.0,Gentoo
259,48.8,16.2,222.0,6000.0,Gentoo
260,47.2,13.7,214.0,4925.0,Gentoo
261,46.8,14.3,215.0,4850.0,Gentoo
262,?,15.7,?,5750.0,Gentoo
263,?,14.8,212.0,5200.0,Gentoo
264,49.9,16.1,213.0,5400.0,Gentoo
265,46.5,?,192.0,3500.0,Chinstrap
266,50.0,19.5,?,3900.0,Chinstrap
267,51.3,19.2,193.0,3650.0,Chinstrap
268,45.4,18.7,188.0,3525.0,Chinstrap
269,52.7,?,197.0,3725.0,Chinstrap
270,?,17.8,?,3950.0,Chinstrap
271,46.1,18.2,178.0,3250.0,Chinstrap
272,?,?,197.0,3750.0,Chinstrap
273,?,?,195.0,4150.0,Chinstrap
274,51.3,?,?,?,Chinstrap
275,46.6,?,193.0,?,Chinstrap
276,?,?,194.0,3775.0,Chinstrap
277,47.0,17.3,185.0,3700.0,Chinstrap
278,52.0,18.1,201.0,4050.0,Chinstrap
279,45.9,17.1,190.0,3575.0,Chinstrap
280,50.5,19.6,201.0,?,Chinstrap
281,?,?,197.0,3300.0,Chinstrap
282,58.0,17.8,181.0,3700.0,Chinstrap
283,46.4,18.6,190.0,3450.0,Chinstrap
284,49.2,18.2,195.0,4400.0,Chinstrap
285,42.4,17.3,181.0,3600.0,Chinstrap
286,48.5,17.5,191.0,3400.0,Chinstrap
287,43.2,16.6,187.0,2900.0,Chinstrap
288,50.6,19.4,?,3800.0,Chinstrap
289,46.7,17.9,195.0,?,Chinstrap
290,?,19.0,197.0,4150.0,Chinstrap
291,50.5,?,?,?,Chinstrap
292,49.5,19.0,200.0,3800.0,Chinstrap
293,46.4,17.8,191.0,?,Chinstrap
294,52.8,?,205.0,?,Chinstrap
295,40.9,16.6,187.0,?,Chinstrap
296,54.2,?,201.0,4300.0,Chinstrap
297,?,16.7,187.0,3350.0,Chinstrap
298,51.0,18.8,?,?,Chinstrap
299,?,?,195.0,3600.0,Chinstrap
300,47.5,16.8,199.0,3900.0,Chinstrap
301,?,?,195.0,3850.0,Chinstrap
302,52.0,20.7,210.0,4800.0,Chinstrap
303,46.9,16.6,192.0,2700.0,Chinstrap
304,53.5,19.9,?,4500.0,Chinstrap
305,?,19.5,210.0,3950.0,Chinstrap
306,46.2,17.5,187.0,?,Chinstrap
307,50.9,?,?,3550.0,Chinstrap
308,45.5,17.0,196.0,3500.0,Chinstrap
309,50.9,?,?,3675.0,Chinstrap
310,50.8,?,201.0,?,Chinstrap
311,50.1,?,190.0,3400.0,Chinstrap
312,49.0,19.6,212.0,4300.0,Chinstrap
313,51.5,?,187.0,3250.0,Chinstrap
314,49.8,?,?,3675.0,Chinstrap
315,48.1,16.4,199.0,?,Chinstrap
316,51.4,?,?,3950.0,Chinstrap
317,45.7,17.3,193.0,3600.0,Chinstrap
318,50.7,19.7,203.0,4050.0,Chinstrap
319,42.5,17.3,?,3350.0,Chinstrap
320,52.2,18.8,?,3450.0,Chinstrap
321,45.2,16.6,?,3250.0,Chinstrap
322,?,19.9,203.0,4050.0,Chinstrap
323,50.2,18.8,202.0,3800.0,Chinstrap
324,45.6,19.4,194.0,3525.0,Chinstrap
325,?,19.5,206.0,3950.0,Chinstrap
326,46.8,16.5,189.0,?,Chinstrap
327,45.7,17.0,195.0,3650.0,Chinstrap
328,55.8,19.8,?,4000.0,Chinstrap
329,43.5,?,202.0,3400.0,Chinstrap
330,49.6,?,?,3775.0,Chinstrap
331,50.8,?,210.0,4100.0,Chinstrap
332,?,18.7,198.0,3775.0,Chinstrap
